document_id,source_path,filename,extension,size_bytes,modified_iso,sha256,duplicate_group,count,unit,category,likely_client,service_area,sensitivity_risk,sensitivity_reason,embedded_title_or_error,sample_text
DOC-037,C:\Users\User\Desktop\180 deliverables\1st Deliverable_EcoCity.pptx,1st Deliverable_EcoCity.pptx,.pptx,3468257,2026-07-04T13:45:16+02:00,8e3c7f7cac9ff7e8ac78c94a27c29f7ddfdaaf438e2f152887415c6e6978bda2,,17,slide,consulting deliverable,EcoCity,sustainability / circular economy; market research / growth; operations / procurement,high,commercial/financial data; client analysis and recommendations,PowerPoint Presentation,"ECOCITY x 180DC 1 st Deliverable 22/03/2022 Suggested uses: Competitor analysis, Market analysis CONTENT 1 INTRODUCTION 3 TECHNICAL SIDE 2 BUSINESS SIDE 4 NEXT STEPS Meet our team Team Leader Edoardo Avogadro Consultant Annika Reim Consultant Chandusha Thati Consultant Filip Stamm Consultant Angelina Yarmosh Introduction Business Side Next Steps Technical Side BSc International Business Administration BSc International Business Administration MSc Global Business & Sustainability MSc Transport Infrastructure & Logistics MSc Complex Systems Engineering and Management ECOCITY Target: build 2500 housing units in Zambia by 2022 Ecocity is looking for a funding of $37.5m Product: affordable and sustainable housing blocks in the form of stacked shipping containers ​ Model: Rent -to- own Existing problem: African urban ~ 20.4€ m housing deficit Developments are overpriced with minimum cost 65 K€ VS 9K€ EcoCity Introduction Business Side Next Steps Technical Side Stakeholders Introduction Business Side Next Steps Technical Side"
DOC-038,C:\Users\User\Desktop\180 deliverables\1st Deliverable_Internal & External Analysis_180DC (2).pdf,1st Deliverable_Internal & External Analysis_180DC (2).pdf,.pdf,1416079,2026-07-04T13:53:26+02:00,bc4a17894713a46fcbe5747f17aac88a2114893fab89a6827dc807eea9a6c4e2,,16,page,unclear/review,SCC,sustainability / circular economy; brand / marketing; operations / procurement,low/unknown,manual review required,,"Internal & External Analysis1stDeliverable11.11.2022 2180 DEGREES CONSULTING MEET OUR GREAT TEAM Consulting DirectorKoppanyHajoTeam LeaderPascal Winterhalder ConsultantArshia RezaeehaiJavadiConsultantBernandoHenriquesConsultantJasmine Zheng ConsultantJessnaPakzadConsultantMaria PredescuConsultantPragunSrivastava 180 DEGREES CONSULTING 3 EXECUTIVE SUMMARYIMPACTWebelievethetransitionwillbringpositiveimpact,•Basedoninternalfactors:•Customisability•Agility•Brand•Control•Waste •Basedonexternalfactors:•Suppliermodel•Longtermcost•Economicsenvironment•Employment BACKGROUNDSouthernCrossCareAustraliahasbeenfocusingonsupportingtheagedcommunitywithanchoronqualityoflife.AsapartofinitiativesofprovidingbakeryproductstailoredtothehealthandpreferencesoftheresidentsintheSouthAustraliaregion,SCCisinneedofanin-housebakerymodelbestfittedforSCC’sgoalsandresources. FUTUREOUTLOOKWewilltakethefollowingstepstorecommendcomprehensivein-housebakerymodelmostsuitedforSCC’scurrentstandingandfuturepotentials.Thenextstepstoimplementthemodelwillalsobeproposetodeliverconcreteresultofourrecommendations•Comparison•Keyfactors PROBLEMSTRUCTURETodevelopthemodel,keyconsiderationsofbothSCCandresidentswillbeanalysed.BestpracticesforSCCindistribution,productionandsourcingwillberecommended,consideringkeycriteria.Furthermore,benefitsforresidentswillbeexploredtofullyunderstandthevalidityandimpactofthetransition. •FinalRecommendation•ImplementationPlan AnefficientIn-housemodeltosupporthealthybakeryproductsforresidentsinSCC'sSouthAustraliaresidence 180 DEGREES CONSULTING 4 AGENDA 01Description of the current situationOPPORTUNITY 02Defining the opportunityOPPORTUNITY STRUCTURE 03Impact of an in-house bakeryIMPACT 04What to expectFUTURE OUTLOOK 180 DEGREES CONSULTING 5 01OPPORTUNITYDescription of the current situation Opportunity| Opportunity Structure | Impact | Future Outlook"
DOC-039,C:\Users\User\Desktop\180 deliverables\1st_deliverable.pptx,1st_deliverable.pptx,.pptx,5965303,2026-07-04T13:46:32+02:00,7927a2542dd59ef911f074a8e67e7d5e9eeef47a3e357ab9761d8f14b92892b4,,27,slide,consulting deliverable,st deliverable,market research / growth; digital / product,medium,client analysis and recommendations,,SUGGESTED USES: EXPANSION Deliverable 1 Lanefyld 01/04/2022 Meet the team Intro | Problem Overview | Approach | Questions | Insights | Next Steps Presentation O utline Problem Outline Approach Questions First Insights Next steps Intro | Problem Overview | Approach | Questions | Insights | Next Steps Problem outline Key Points Lanefyld “The ‘Tesla’ of the rollator market” Preventing falling accidents Reduce healthcare costs Improve mobility Smart technology & data sharing Automatic braking Fall prevention Functionality and aesthetics should go hand in han d Beautiful design 01 02 03 7 04 Intro | Problem Overview | Approach | Questions | Insights | Next Steps
DOC-040,C:\Users\User\Desktop\180 deliverables\20220218_Final_Presentation_Usiko.pdf,20220218_Final_Presentation_Usiko.pdf,.pdf,107916756,2026-07-04T13:45:04+02:00,df2a63c007a5cdd6270a451e40d578ac2a081eea777aafe40f5f223e94fcf847,,41,page,consulting deliverable,Usiko,sustainability / circular economy; operations / procurement,medium,client analysis and recommendations,,Presentation of deliverables | Usiko Consulting Project1 2 Antoni SamerekInternational Economics & Business Economics Rebecca HoogendoornInternational Management / CEMS Global Business & Sustainability Fabian Engelsman Finn ScheffGlobal Business & Sustainability Iñaki SarróIndustrial Engineering & Economics | Usiko Consulting Project Angelina YarmoshInternational Business Administration 3 Agenda 3| Usiko Consulting Project 01UsikoTemplate ReportM&E Framework Final Report 02030405Process Handouts 4 Who is Usiko? 4| Usiko Consulting Project 01UsikoTemplate ReportM&E Framework Final Report 02030405Process Handouts | Usiko Consulting Project5 Defining the pillars of Usiko1 Wilderness TherapyMentoringEducation & Skills Development 2 3 Helping the Community through Positive Youth Development
DOC-041,C:\Users\User\Desktop\180 deliverables\202407_Stir It Up X 180 DC_Final Report_vF.pdf,202407_Stir It Up X 180 DC_Final Report_vF.pdf,.pdf,1356067,2026-07-04T13:58:20+02:00,61c302dce833f080c6ee489c5a444e27463d8367722f096bf22045137112815d,,26,page,unclear/review,Stir It Up,market research / growth; brand / marketing; business plan / financial,low/unknown,manual review required,,"180 DEGREES CONSULTING B2B & Online Presence Strategies 180 Degrees Consulting Delft-Rotterdam Stir It Up July 2024 180 Degrees Consulting 2 CONSULTANT TEAM TEAM LEADER TEAM LEADER CONSULTANT NAME CONSULTANT CONSULTANT NAME CONSULTANT CONSULTANT NAME CONSULTANT CONSULTANT NAME CONSULTANT CONSULTING DIRECTOR CONSULTANT CONSULTING DIRECTOR CONSULTING DIRECTOR 180 Degrees Consulting 3 CONTENTS CONSULTANT TEAM ...................................................................................... 2 EXECUTIVE SUMMARY ................................................................................... 4 CONTEXT, OBJECTIVES & SCOPE ................................................................... 6 ABOUT STIR IT UP .................................................................................................. 6 CURRENT SITUATIOn & project objectives ............................................................. 6 Outtline & Scope ..................................................................................................... 6 COMPETITIVE LANDSCAPE ............................................................................ 8 economic overview .................................................................................................. 8 Market segments .................................................................................................... 8 Market players ....................................................................................................... 10 Product analysis .................................................................................................... 12 B2B STRATEGY ............................................................................................ 13 Segments assessment ........................................................................................... 13 Key recommendation - B2C marketing ................................................................. 15 IMPLEMENTATION PLAN ..........................."
DOC-042,C:\Users\User\Desktop\180 deliverables\202407_Stir It Up X 180DC_ppt.pdf,202407_Stir It Up X 180DC_ppt.pdf,.pdf,17835296,2026-07-04T13:58:16+02:00,cd086e309773612aa3904cfb7696fd1d5366e349cf64f7059a9cde68ddf296ba,,96,page,consulting deliverable,Stir It Up,market research / growth; brand / marketing; business plan / financial,medium,client analysis and recommendations,,"Stir It Up X 180 Degrees ConsultingB2B & Online Presence StrategiesFinal Report 180 DEGREES CONSULTING 2 01IntroductionBackground of the project and our approach. 02Economic OverviewAnalysis of macro-trends in interest, income, and spending. 03Industry OverviewOverview of segments and main competitors. 04Product AnalysisPosition of Stir It Up relative to market standards. 05B2B StrategySegment analyses and recommended approach. Topics 06E-commerce opportunitiesSelected opportunities and competitor benchmarks. 07Online presence strategySocial media strategy & SEO 01 Introduction 180 DEGREES CONSULTING 4 We Have The Following Understanding Of Stir It UpCompany introduction Stir It Up was in 2022 and entered the market mostly in the following year. The company specializes in ready-to-serve (RTS) bottles cocktails and currently offers 8 flavors in 2 sizes. ’22’23 Stir It Up mainly targets events and offers multiple services; from supplying its RTS cocktails to providing bartenders and supplies. Business model & resultsAt events, Stir It Up can operate 2 business models; selling an agreed upon number of RTS cocktails to the event organizer or running sales itself. Additions to the business model through e.g., minimum sales targets or profit-sharing have been discussed. Up to date, Stir It Up achieved revenues of roughly €20,000, with the vast majority (≈80%) coming from running sales itself.€20K Client profile The company can serve event venues, hospitality businesses, corporate events etc. Some clients have engaged with Stir It Up’s services more than once . Selection of former clients: 180 DEGREES CONSULTING 5 Project goal Current situation ManyofStirItUp’scurrentclientrelationshipsarebasedonone-timeevents,causinglargefluctuationsinthenumberofeventsStirItUpserveswithinagivenperiod. MostofStirItUp’sbusinessiscurrentlybeingacquiredthroughthepersonalnetworkoftheStirItUpteam. Currently,theonlinepresenceofStirItUp’sislimitedtoitswebsiteandInstagrampage,thoughnoonlinestrateg"
DOC-043,C:\Users\User\Desktop\180 deliverables\23plusone Project Brief - Members.pdf,23plusone Project Brief - Members.pdf,.pdf,224816,2026-07-04T13:33:40+02:00,7c5516c3922cdadc4c7c7efb88dd4cbb25ef66ef3a07a94840aa594c21f9ce9f,,4,page,proposal/brief,23plusone,sustainability / circular economy; market research / growth; brand / marketing,medium,scope/internal planning,Microsoft Word - 23plusone Project Brief - Members,"180 Degrees Consulting Project Brief — The 23plusone Collective PROJECT SCOPE - MEMBERS Organizational Background: The 23plusone Collective is a community of professionals inspiring, shaping, and impacting people and organizations through its scientific method. The collective’s goal is to build a community of change makers through connection, positive action, and mutual inspiration. They do this through their network of experts and workshops catered to unleashing the emotional drivers of individuals and organizations. The three driving forces behind the members are: leading from the heart, moving as one, and shaping what’s next. Over the years, they have developed a deck of cards that help people identify what emotional factors motivate them to better create a sustainable and positive future. Project Brief: The 23plusone Collective has established a new strategy with the key goals of increasing thought leadership, visibility, and community. With a limited amount of hours from members, implementing these strategies can be daunting and difficult without clear execution plans. To support them, 180 Degrees Consulting Delft-Rotterdam will perform a number of tasks, including market and target member analysis, as well as compose concrete outreach plans to attract new members and experts. To kick off the project, the team will dive into The 23plusone Collective and everything they stand for and offer. This will help the student consultants to better express and utilize 23plusone’s true qualities and aspirations in all subsequent sections. Once this has been completed, an assessment of current members will be done. This will allow the team to clearly see what attracts people to the collective as well as how future strategies can make sure to retain the current members while also increasing new membership. After these initial steps, the team will begin with a market analysis. This market analysis will cover the industries in which 23plusone lies, broadly professional and org"
DOC-044,C:\Users\User\Desktop\180 deliverables\23plusone_x_180DC_Service_Agreement.pdf,23plusone_x_180DC_Service_Agreement.pdf,.pdf,388309,2026-07-04T13:34:04+02:00,1122020bd18f7adb2b6f1acd6d832116746858f0d0ab74c4c7ab166c337485ba,,10,page,contract/agreement,23plusone,brand / marketing; strategy,high,legal terms/signatures; commercial/financial data,23plusone x 180DC Service Agreement,"Date: 12 / 02 / 2026 180 Degrees Consulting Delft-Rotterdam Foundation (KVK 74037587) and The 23plusone Collective (KVK 92732585) SERVICES AGREEMENT 1 180d0001_10273_048.docx Docusign Envelope ID: 093AAE22-3F9C-4935-B480-576D3763C342 THIS AGREEMENT is made on 12 / 02 / 2026 BETWEEN : 1. 180 Degrees Consulting Delft-Rotterdam Foundation (KVK 74037587) of Honingerdijk 71A01, 3063AK, Rotterdam (“the Branch ”); and 2. The 23plusone Collective (KVK 92732585) of Fred. Roeskestraat 115, 1076EE, Amsterdam (“the Client ”), each a “ Party ” and together the “ Parties ”. RECITALS : A. The Client has engaged the Branch to provide the Services to the Client in consideration for the payment by the Client to either the Branch or the Nominee of the Service Fee in accordance with the terms of this agreement. IT IS AGREED AS FOLLOWS : 1. DEFINITIONS AND INTERPRETATION 1.1. Definitions In this agreement: 180 Degrees Consulting Global means 180 Degrees Consulting Limited (ACN 155 496 987). 180 Degrees Entities means 180 Degrees Consulting Global and its individual branches, licensees, franchisees, and affiliates (both in Australia and internationally), 180 Degrees Consulting US NFP (employer identification number 46-5092877) or a Related Entity of 180 Degrees Consulting Global. 180 Degrees Group means the Branch, 180 Degrees Consulting Global, and the 180 Degrees Entities. Claims means any and all actual or contingent claim, notice, demand, dispute, suit, action, potential cause of action, right, obligation, demand, proceeding, litigation, investigation, judgment, damage, loss, cost, payment, expense or liability however arising, whether present, 2 180d0001_10273_048.docx Docusign Envelope ID: 093AAE22-3F9C-4935-B480-576D3763C342 unascertained, immediate, future or contingent, whether based in contract, tort, at law, in equity or statute, and whether involving a third party or a party to this agreement, including, without limitation, claims arising out of or relating to, or in any way "
DOC-045,C:\Users\User\Desktop\180 deliverables\2nd Deliverable1_Ecocity.pptx,2nd Deliverable1_Ecocity.pptx,.pptx,4808799,2026-07-04T13:45:18+02:00,e831fdb99c7e99c5f325d2d1782939d691ff57a2fa866bdbaf77fbab7881e660,,19,slide,consulting deliverable,EcoCity,sustainability / circular economy; market research / growth; operations / procurement,high,commercial/financial data; client analysis and recommendations,PowerPoint Presentation,"ECOCITY x 180DC 2 nd Deliverable 03/05/2022 Suggested uses: Competitor analysis, Market analysis CONTENT 4 COMPETITOR ANALYSIS 1 SUSTAINABILITY 5 INVESTOR ANALYSIS 3 FINANCIAL MODEL 6 RISK ANALYSIS 2 TARGET AUDIENCE 7 OVERVIEW Meet our team Team Leader Edoardo Avogadro Consultant Annika Reim Consultant Chandusha Thati Consultant Filip Stamm Consultant Angelina Yarmosh BSc International Business Administration International BSc in Economics and Business Economics MSc Global Business & Sustainability MSc Transport Infrastructure & Logistics MSc Complex Systems Engineering and Management S ustainability Does ISBU( Intermodal Steel Building Unit) impact the environment ? Due to their simple design, solar panels and insulation are suitable. Eco-friendly boost Fewer building materials is required, saving precious natural resources. Cement is the source of about 8% of the world's CO2 emissions [1] Less material usage Containers’ lifespan is of 12 years and most spend much of this time unused [2]. These are collected increasing waste. Reusable Container homes produces enough renewable energy to meet its own annual energy consumption requirements[4] Net Zero Sustainability Target Audience Competitor Analysis Financial Model Investor Analysis Risk Analysis Overview S USTAINABILITY Does ISBU impact the environment ? ​ Traditional buildings generate nearly 40% of annual global Co2 emissions (28%- Building operations and 11%- Materials and Construction)[5] Carbon footprint Around 57,000 tonnes of Co2 emissions is saved by not using various traditional construction materials.[3] Saved With the conversations about the crisis and affordability in housing starts, it is certainly possible that shipping container houses will become the future housing option. [6] Future Sustainability Target Audience Competitor Analysis Financial Model Investor Analysis Risk Analysis Overview"
DOC-046,C:\Users\User\Desktop\180 deliverables\3_Final_Report.pdf,3_Final_Report.pdf,.pdf,239302,2026-07-04T13:51:24+02:00,14b8bde977a2715bca91389bc18128abf08e9a66d8630066e02ad44a8d7e8f77,,33,page,consulting deliverable,Final Report,market research / growth; fundraising / partnerships; operations / procurement,medium,client analysis and recommendations,3_Final_Report,180 DEGREES CONSULTING Final Report TU Delft Branch The Funding Lab- International Fundraising Consultancy 16/06/2019 CONTENTS CONTEXT & OBJECTIVES ................................................................................ 3 THE CLIENT MISSION ............................................................................................. 3 CURRENT CHALLENGES ........................................................................................ 3 COMPETITOR ANALYSIS ................................................................................ 5 IMPACT ................................................................................................................... 7 KEYWORD & AD STRATEGY ........................................................................... 8 IMPACT ................................................................................................................... 8 IMPLEMENTATION ................................................................................................. 8 DRIVING CONVERSIONS VIA THE LANDING PAGE ........................................ 12 IMPACT ................................................................................................................. 12 CONVERSION IMPLEMENTATION STRATEGY .................................................... 12 LANDING PAGE IMPLEMENTATION STRATEGY ................................................. 15 FACILITATING ACCOUNT MANAGEMENT ..................................................... 20 IMPACT ................................................................................................................. 20 Usage of Scripts .......................................................................................................... 20 Onboarding New Clients with Structured Questionnaire ............................................ 21 SECTIONS ............................................................................................................. 21 USAGE .................
DOC-047,C:\Users\User\Desktop\180 deliverables\3_Third_Deliverable_Presentation.pdf,3_Third_Deliverable_Presentation.pdf,.pdf,1272943,2026-07-04T13:51:34+02:00,2da91f761f36959b18bbb8af98d8a50b428025f514040c7cc3d1f98c8631147d,,31,page,unclear/review,Third Deliverable Presentation,market research / growth; fundraising / partnerships; business plan / financial,medium,commercial/financial data,Microsoft PowerPoint - Final presentation,"180 DEGREES CONSULTING2 Problem Statement Google GrantCharities 180 DEGREES CONSULTING3 Current State of The Market$2 per click as of January, 2013Non profits under-spend their budget, with an average recipient spending approximately $330 a month (out of $10,000)60% of websites don’t use any type of Analytics tracking, and that the number is even higher for nonprofits.•Too commercial•Privacy problems•Lack of resources [1] Corrado (2017)[2] Shariff (2012) 180 DEGREES CONSULTING4 OutlineKeyword & Ad OptimizationConversion & Landing pagesThe Funding Lab analysisFuture TimelineAccount ManagementCompetitor Analysis 180 DEGREES CONSULTING5 COMPETITIVE LANDSCAPE RESEARCHClient SizeAmount of Clients MentionedExtra ServicesLocation of HeadquartersPricingFocus on charities onlyCompetition in Europe"
DOC-048,C:\Users\User\Desktop\180 deliverables\3rd Real third deliverable (2).pptx,3rd Real third deliverable (2).pptx,.pptx,18818250,2026-07-04T13:45:22+02:00,9f154c80c449aae6db3fecb0b9a83e733a35e37406b8a650e483388a90f740fa,,47,slide,consulting deliverable,EcoCity,sustainability / circular economy; market research / growth; fundraising / partnerships,high,commercial/financial data; client analysis and recommendations,PowerPoint Presentation,"ECOCITY x 180DC 3 rd Deliverable 16/06/2022 Suggested uses: Competitor analysis, Market analysis Meet our team Team Leader Edoardo Avogadro Consultant Annika Reim Consultant Chandusha Thati Consultant Filip Stamm Consultant Angelina Yarmosh BSc International Business Administration International BSc in Economics and Business Economics MSc Global Business & Sustainability MSc Transport Infrastructure & Logistics MSc Complex Systems Engineering and Management CONTENT Investor Analysis Slides Deck Final Recommandations Blablabla Challenge Solution Competitors Financial model SWOT Slides Comparison Conclusions Investor Analysis Our top picks for investors Where to direct your attention? Country of Origin Assets under management/investment Sustainability focused? Real estate focused? Invested in Africa? Invested in Zambia? InfraCo Africa UK Invested $165 million in sustainable projects Yes, mainly social sustainability Heriot REIT South Africa Property portfolio valued at $277 million No concrete sustainability focus Actis UK $19 billion of assets under management High, acts to invest in a net zero world Vital Capital Cyprus $350 million private equity fund Yes, in the provision of food, water, healthcare, and infrastructure. Triple Jump Dutch $100 million Sustainable energy and agricultural finance."
DOC-049,C:\Users\User\Desktop\180 deliverables\3rd_Deliverable_BCP_180DC.pptx,3rd_Deliverable_BCP_180DC.pptx,.pptx,5889483,2026-07-04T13:43:32+02:00,a0366f8c686e3ed0d094b4e409658eb0bd0e3ded91721c28b1a3f5ed27757d3b,,35,slide,consulting deliverable,BCP,fundraising / partnerships; business plan / financial; organization / governance,high,commercial/financial data; client analysis and recommendations,,"A woman in Zambia What are the challenges an entrepreneur faces in rural Zambia and how can BCP help? Alice 30 year old female Lives in rural Zambia (Mwanya) Great small business potential NO FINANCIAL MEANS 01 CONSTRAINED ACCESS TO TRADITIONAL BANKING 02 LIMITED TRUST AND SUPPORT TO RURAL PROJECTS 04 NO KNOWLEDGE ON HOW TO PROCEED 03 CHALLENGE CHALLENGE CHALLENGE CHALLENGE Final Deliverable BCP 03.02.2022 SUGGESTED USES: FUNDRAISING, FINANCE Agenda Microfinance Definition Microfinance vs Microcredit Differences Capacity Building Background & Overview User journey Grants & Loans RIFF Project ADA Way forward Roadmap MEET OUR TEAM Sara Vaccari +393332842060 sv.sarvac@gmail.com Consultant Team Leader Alexis Freytag +491626755020 alexis-freytag@web.de Consultant Maria Bravo da Fonseca +351933875802 maria.bravodafonseca@gmail.com Consultant Matteo Avitable +31683850359 avi.matteo02@gmail.com Consultant Gustavo Alvarez +34675461548 gustavoalvarezfdez@gmail.com Consultant Sacha Reus +31630776415 sachareus@hotmail.com Micro- Finance"
DOC-050,C:\Users\User\Desktop\180 deliverables\8Energies Project Brief.pdf,8Energies Project Brief.pdf,.pdf,269891,2026-07-04T13:31:56+02:00,7ed651428558d6900a5f9b53ac751d3530c92626cd55ebfe0ec48cc8b9ac9f18,,5,page,proposal/brief,8Energies,sustainability / circular economy; fundraising / partnerships; operations / procurement,medium,scope/internal planning,8Energies Project Brief - Google Docs,"180 Degrees Consulting Project Brief — 8Energies PROJECT SCOPE Organizational Background: 8Energies is a European energy storage company focused on developing, building, and operating large-scale battery energy storage systems (BESS). The company addresses the growing need for ﬂexibility in the electricity system as a key enabler of the energy transition and contributes to increasing the reliability and resilience of the European power grid. With a strong focus on streamlined project development, operational excellence, and commercial optimization of storage assets, 8Energies aims to build one of the fastest and leanest BESS development platforms in Europe. A key strategic theme for the company is the integration of BESS with renewable assets, especially photovoltaic (PV) parks, through co-located storage concepts, as explored in its work on co-located (grey) energy storage systems. Building on this foundation, 8Energies is now exploring how co-located green power storage (i.e., storage charged with renewable electricity) compares ﬁnancially to conventional “grey power” storage, and how such conﬁgurations can enhance the economic performance of PV assets. Project Brief: 8Energies seeks to assess the ﬁnancial viability and strategic attractiveness of co-located green power battery energy storage systems (BESS) compared to conventional grey power storage systems. In parallel, the company wants to quantify how co-located storage can increase the internal rate of return (IRR) of existing and new PV parks, and under which conditions this value uplift is maximized. A core element of the project is to analyze and compare diﬀerent collaboration models between PV park operators and BESS developers, such as: ● Shared or carved-out grid connection infrastructure, ● Grid connection or substation usage fees, ● Lease models, proﬁt-sharing arrangements, and CAPEX- or OPEX-based structures. For 16 weeks, the team will support 8Energies by developing a structured ﬁnancial and strate"
DOC-051,C:\Users\User\Desktop\180 deliverables\_180 DC - iGiver Pitch Deliverable 3.pptx,_180 DC - iGiver Pitch Deliverable 3.pptx,.pptx,9078966,2026-07-04T13:54:24+02:00,df498dffcb0ec38db74294c2f688d2414c99ca825fba18f5582760531c14e932,,18,slide,consulting deliverable,iGiver,market research / growth; fundraising / partnerships; organization / governance,medium,client analysis and recommendations,,"180 DC Team February , 202 4 X DELIVERABLE- 3 OVERVIEW FOR THE MEETING Agenda of the presentation. Meet the team and overview INTRODUCTION 01 Specifics of the market INDIAN DEMOGRAPHIC 02 Ideas for iGiver COPY IDEAS 04 Current trends in NGO space CURRENT STRATEGIES 03 Takeaways for deliverable 3 SUMMARY 05 MEET OUR TEAM Consulting Director SRITEJA DEVARAKONDA Consultant BEN WIESCHHOFF Consultant FILIP MITSKE Consultant MARIE BODSON Team Lead KARINA KHRISTICH Consultant NICHOLAS CHOE Consultant PRAAGYA GOYAL Consultant ROKO LAZIC INDIAN DEMOGRAPHIC UNDERSTANDING DEMOGRAPHIC Indian specific market behavioural understanding. a shift from a massive proportion of young people in 1989 to a lot more working class people in 2019 Demographic age shift More disposable income for people and this makes it an excellent market for NGOs who want more donations. Increased GDP growth rate (8.7%) The typical (median) amount is 5000 rupees. The mean amount donated was significantly higher at 18,182 rupees. Median and mean amounts Helping the poor (55%), Religious Organisations (53%) and helping Children (52%). Top Causes cash is the most common way of donating (68% of donors) followed by donating using online banking/credit card (33%). Ways of donating An increasing role in digital fundraising platforms, fueled by the high mobile penetration rate in India Digitalization Donation and NGO market in India trends and observations CURRENT STATE"
DOC-052,C:\Users\User\Desktop\180 deliverables\Asili Eco all deliverables.pdf,Asili Eco all deliverables.pdf,.pdf,2663887,2026-07-04T13:59:58+02:00,ffdb2206e3663174ec1b3b15ae5bf9d029bda5fcf42ab5b0d3a95102c26ac273,,47,page,consulting deliverable,Asili Eco,sustainability / circular economy; operations / procurement; organization / governance,high,commercial/financial data; client analysis and recommendations,,"September 2016 DATE: 27/03/2025 ASILI ECO 2180 DEGREES CONSULTING OUR TEAM Team Leader BSc International Bus. Adm. CASPER SCHRETLEN Consultant BSc International Bus. Adm. VALENTINO MOLLARD Consultant MScBA Business Analytics MIHAIL SILVAN POP Consultant BSc Mechanical Engineering ALEXANDER DE VET Consultant BSc2 Econometrics & Economics TAN DABBAGH PRESENTATION AGENDA Organizational & Staﬃng Structure Service Oﬀering & Experience Design Risk Management & Compliance Operational Logistics & Guest Flow Management Organizational & Staﬃng Structure 180 DEGREES CONSULTING 5 ASILI ECO ORGANIZATIONAL CHART Organization is divided into five categories, totaling 12FTE Management Head chef Farm manager Housekeeping staff Entertainment & activities manager Freelance performers 2 Kitchen Assistants Experienced farmer Admin officer Waiter 2 Entry-level farmers Lower-end of average wages are used in calculation of total salary expenditure. Total wage expense: $4150 / month"
DOC-053,C:\Users\User\Desktop\180 deliverables\BCI Project - Deliverable 1.pdf,BCI Project - Deliverable 1.pdf,.pdf,2385202,2026-07-04T14:01:04+02:00,81a788235f271cd9f3fd43f5aa74d72e6a4c530f722c5c7ab9e489f750e72559,,27,page,consulting deliverable,BCI,sustainability / circular economy,medium,client analysis and recommendations,,"September 2016 Barefoot College International & 180DC Building livelihoods, brightening future for women 2180 DEGREES CONSULTING Meet our consulting team Team Leader Xenofon Voulkopoulos Consultant Josephine Peter Phan Thanh Thao Consultant Ha Mi Tran Consultant Celina Reinhard Consultant Glen Suttrop Consultant Consulting Director Anna Sloan 180 DEGREES CONSULTING 3 Understanding Barefoot College International • BCI's is established as a women-centered, global network dedicated to sustainable development for marginalized rural communities. • BCI's mission is to ensure that every woman and girl has the skills and knowledge she needs to become a catalyst for change. • Culture is centered around the values of equality, collective decision making and decentralization. • There are seven current livelihoods and six different projects. Understanding the Isles de Saloum region • Isles de Saloum is in the west coast of Senegal and the region consists of over 200 islands connected by waterways. • It is recognized as an Unesco World Heritage Site. • Oyster harvesting and fishing are the major activities in this region. • The age of the population is relatively low but with a high unemployment rate. Executive summary 180 DEGREES CONSULTING 4 Our presentation today Understanding Barefoot College International Understanding the Isles de Saloum region Understanding Barefoot College International"
DOC-054,C:\Users\User\Desktop\180 deliverables\BCI Project - Deliverable 2.pdf,BCI Project - Deliverable 2.pdf,.pdf,3143241,2026-07-04T14:01:06+02:00,717b46caf0db2925270e109de765a2d5fe66dffd874f6f6eb6764367cd23a51f,,45,page,consulting deliverable,BCI,sustainability / circular economy; digital / product,medium,client analysis and recommendations,,"September 2016 Barefoot College International & 180DC Building livelihoods, brightening future for women 2180 DEGREES CONSULTING Our consulting team Team Leader Xenofon Voulkopoulos Consultant Josephine Peter Phan Thanh Thao Consultant Ha Mi Tran Consultant Celina Reinhard Consultant Glen Suttrop Consultant Consulting Director Anna Sloan 180 DEGREES CONSULTING 3 Exploring Livelihoods • Six of BCI's current livelihoods could be applicable to the Isles de Saloum region: regenerative agriculture, water, biocharcoal, beekeeping, tailoring and sewing, reusable sanitary napkins. • BCI can establish four new livelihoods based on the resources and the characteristics of the Isles de Saloum region: integrated eco - tourism, oyster harvesting, baobab oil & powder and salt production. • Overall, there are three livelihood pillars that provide the best fit for the region. • Transportation is a critical issue for the successful implementation of the livelihoods, but BCI can implement different solu tions that can alleviate transportation challenges. Applicability of New Livelihoods • Oyster harvesting and beekeeping is the most appropriate livelihood combination for Senegal. • Implementation of beekeeping livelihood should be the main focus both for Angola and West & Central Africa. • In America, Asia and Pacific islands sustainable harvesting can be implemented in a large scale. Executive summary 180 DEGREES CONSULTING 4 Our presentation today Exploring current livelihoods Applicability of new livelihoods Exploring new livelihoods Livelihoods best fit for the Isles de Saloum region Exploring current livelihoods"
